Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
1	Frontier	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/SC/Oak Ridge National Laboratory	HPE	United States	8,699,904	1,194,000.00	1,679,818.75	24,219,648	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Zen-3 (Milan)	North America
2	Aurora	HPE Cray EX - Intel Exascale Compute Blade, Xeon CPU Max 9470 52C 2.4GHz, Intel Data Center GPU Max, Slingshot-11	DOE/SC/Argonne National Laboratory	Intel	United States	4,742,808	585,340.00	1,059,325.75	22,089,600	Xeon CPU Max 9470 52C 2.4GHz	SUSE Linux Enterprise Server 15 SP4	Linux	Intel Data Center GPU Max	52	Intel Xeon Max	North America
3	Eagle	Microsoft NDv5, Xeon Platinum 8480C 48C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR	Microsoft Azure	Microsoft	United States	1,123,200	561,200.00	846,835.20	11,796,480	Xeon Platinum 8480C 48C 2GHz	Ubuntu 22.04	Linux	NVIDIA H100	48	Xeon Platinum (Sapphire Rapids)	North America
4	Supercomputer Fugaku	Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D	RIKEN Center for Computational Science	Fujitsu	Japan	7,630,848	442,010.00	537,212.00	21,288,960	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
5	LUMI	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	EuroHPC/CSC	HPE	Finland	2,752,704	379,700.00	531,505.15	13,685,760	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Zen-3 (Milan)	Europe
6	Leonardo	BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband	EuroHPC/CINECA	EVIDEN	Italy	1,824,768	238,700.00	304,465.92	10,216,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	NVIDIA A100 SXM4 64 GB	32	Xeon Platinum 83xx (Ice Lake)	Europe
7	Summit	IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband	DOE/SC/Oak Ridge National Laboratory	IBM	United States	2,414,592	148,600.00	200,794.88	16,473,600	IBM POWER9 22C 3.07GHz	RHEL 7.4	Linux	NVIDIA Volta GV100	22	IBM POWER9	North America
8	MareNostrum 5 ACC	BullSequana XH3000, Xeon Platinum 8460Y+ 40C 2.3GHz, NVIDIA H100 64GB, Infiniband NDR200	EuroHPC/BSC	EVIDEN	Spain	680,960	138,200.00	265,574.40	5,677,056	Xeon Platinum 8460Y+ 40C 2GHz	RedHat 9.1	Linux	NVIDIA H100 64GB	40	Xeon Platinum (Sapphire Rapids)	Europe
9	Eos NVIDIA DGX SuperPOD	NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100, Infiniband NDR400	NVIDIA Corporation	Nvidia	United States	485,888	121,400.00	188,645.02	5,484,544	Xeon Platinum 8480C 56C 3.8GHz	Ubuntu 22.04.3 LTS	Linux	NVIDIA H100 SXM5 80 GB	56	Xeon Platinum (Sapphire Rapids)	North America
10	Sierra	IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband	DOE/NNSA/LLNL	IBM / NVIDIA / Mellanox	United States	1,572,480	94,640.00	125,712.00	11,902,464	IBM POWER9 22C 3.1GHz	Red Hat Enterprise Linux	Linux	NVIDIA Volta GV100	22	IBM POWER9	North America
11	Sunway TaihuLight	Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway	National Supercomputing Center in Wuxi	NRCPC	China	10,649,600	93,014.59	125,435.90	12,288,000	Sunway SW26010 260C 1.45GHz	Sunway RaiseOS 2.0.5	Linux	None	260	Sunway	Asia
12	Perlmutter	HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11	DOE/SC/LBNL/NERSC	HPE	United States	888,832	79,230.00	112,997.79	5,800,000	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-3 (Milan)	North America
13	Selene	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband	NVIDIA Corporation	Nvidia	United States	555,520	63,460.00	79,215.00	6,598,656	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	North America
14	Tianhe-2A	TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000	National Super Computer Center in Guangzhou	NUDT	China	4,981,760	61,444.50	100,678.66	9,773,000	Intel Xeon E5-2692v2 12C 2.2GHz	Kylin Linux	Linux	Matrix-2000	12	Intel Xeon E5 (IvyBridge)	Asia
15	Explorer-WUS3	ND96_amsr_MI200_v4, AMD EPYC 7V12 48C 2.45GHz, AMD Instinct MI250X, Infiniband HDR	West US3	Microsoft Azure	United States	445,440	53,960.00	86,986.75	5,579,520	AMD EPYC 7V12 48C 2.45GHz	Ubuntu 20.04	Linux	AMD Instinct MI250X	48	AMD Zen-2 (Rome)	North America
16	ISEG	Gigabyte G593-SD0, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400	Nebius	Nebius AI	Netherlands	218,880	46,540.00	86,792.19	3,342,336	Xeon Platinum 8468 48C 2.1GHz	Ubuntu 20.04	Linux	NVIDIA H100 SXM5 80 GB	48	Xeon Platinum (Sapphire Rapids)	Europe
